Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,MVP
199,Jason Kidd*,PG,23,DAL,22,22,36,3.4,9.2,0.369,1,3,0.323,2.5,6.3,0.391,0.421,2.1,3.1,0.667,1.4,2.7,4.1,9.1,2,0.4,3,1.9,9.9,1996-97,FALSE
199,Jason Kidd*,PG,23,PHO,33,23,35.5,4.2,9.9,0.423,1.2,3,0.4,3,6.8,0.434,0.485,2,2.9,0.688,1,3.8,4.8,9,2.4,0.4,2.3,2.2,11.6,1996-97,FALSE
200,Frankie King,SG,24,PHI,7,0,8.4,1,2.4,0.412,0.1,0.3,0.5,0.9,2.1,0.4,0.441,0.7,0.7,1,0.6,1.4,2,0.7,0.6,0,0.4,1,2.9,1996-97,FALSE
201,Jimmy King,SG,23,DEN,2,0,11,1,3,0.333,0,0,,1,3,0.333,0.333,1,2,0.5,1,0,1,1,1.5,0,0.5,1,3,1996-97,FALSE
202,Stacey King,C,30,TOT,11,0,9.4,1,2,0.5,0,0,,1,2,0.5,0.5,0.2,0.6,0.286,1,1.5,2.5,0.1,0.2,0.1,0.5,1.3,2.2,1996-97,FALSE
202,Stacey King,C,30,BOS,5,0,6.6,1,1.4,0.714,0,0,,1,1.4,0.714,0.714,0.4,0.6,0.667,0.2,1.6,1.8,0.2,0,0.2,0.2,0.6,2.4,1996-97,FALSE
202,Stacey King,C,30,DAL,6,0,11.7,1,2.5,0.4,0,0,,1,2.5,0.4,0.4,0,0.7,0,1.7,1.3,3,0,0.3,0,0.8,1.8,2,1996-97,FALSE
203,Kerry Kittles,SG,22,NJN,82,57,36.7,6.2,14.5,0.426,1.9,5.1,0.377,4.3,9.4,0.453,0.493,2.1,2.8,0.771,1.3,2.6,3.9,3,1.9,0.4,1.5,2,16.4,1996-97,FALSE
204,Joe Kleine,C,35,TOT,59,10,14.4,1.2,2.9,0.406,0,0.1,0.667,1.1,2.8,0.401,0.412,0.5,0.6,0.737,1.1,2.4,3.4,0.6,0.3,0.3,0.7,1.9,2.8,1996-97,FALSE
204,Joe Kleine,C,35,PHO,23,10,15.9,1.4,3.5,0.4,0,0,1,1.3,3.4,0.392,0.406,0.6,0.8,0.722,0.9,2.6,3.5,0.5,0.4,0.3,0.9,2,3.4,1996-97,FALSE
204,Joe Kleine,C,35,LAL,8,0,3.8,0.3,1,0.25,0,0,,0.3,1,0.25,0.25,0.3,0.3,1,0.3,0.9,1.1,0,0,0,0,0.8,0.8,1996-97,FALSE
204,Joe Kleine,C,35,NJN,28,0,16.2,1.3,2.9,0.427,0,0.1,0.5,1.2,2.9,0.425,0.433,0.5,0.6,0.722,1.4,2.7,4.1,0.8,0.3,0.4,0.8,2,3,1996-97,FALSE
205,Travis Knight,C,22,LAL,71,14,16.3,2,3.9,0.509,0,0,,2,3.9,0.509,0.509,0.9,1.4,0.62,1.8,2.7,4.5,0.5,0.4,0.8,0.7,2.4,4.8,1996-97,FALSE
206,Larry Krystkowiak,PF,32,LAL,3,0,3.7,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0.7,1,1.7,1,0.7,0,0.3,1,1,1996-97,FALSE
207,Toni Kuko?*,SF,28,CHI,57,15,28.2,5,10.6,0.471,0.9,2.6,0.331,4.1,8,0.518,0.512,2.4,3.1,0.77,1.6,2.9,4.6,4.5,1.1,0.5,1.6,1.7,13.2,1996-97,FALSE
